face_label,face_encoding,matched_shots,count,matched_videos,vid_appearance_count
RAdm Daniel Hagari,"[-0.01274844  0.00305946  0.06620624 -0.06884685  0.00347604 -0.01327339
 -0.06222721 -0.07371271  0.17804441 -0.11118658  0.17529622  0.05915651
 -0.16224426 -0.08607561  0.06646701  0.10223185 -0.12960184 -0.0521256
 -0.21556722 -0.12172594  0.0106799   0.0911859   0.10176954 -0.03194349
 -0.19677021 -0.31216046 -0.09552927 -0.07133756  0.10667615 -0.11166602
  0.02452016  0.02775117 -0.20948777 -0.03315499  0.00955977  0.07122058
 -0.06235506 -0.08548553  0.2232862   0.05333419 -0.17635989  0.08209376
 -0.04455464  0.17723484  0.25764102 -0.05288049  0.09180807 -0.12045261
  0.13935921 -0.2354483   0.05750555  0.12165071  0.03960811  0.10876386
  0.06750677 -0.11795814 -0.02832326  0.17737788 -0.15621616  0.12939191
  0.04437981 -0.13528614 -0.08062683 -0.00586316  0.07459979  0.0934089
 -0.17154624 -0.18427549  0.12181963 -0.13265818  0.001947    0.10361202
 -0.09980888 -0.15322104 -0.33721393  0.04436813  0.33777827  0.05590563
 -0.24551518 -0.05216794 -0.1020078  -0.01773094  0.00537466  0.11376376
 -0.06088556 -0.03820105 -0.04507433  0.09560952  0.20777616 -0.00575945
 -0.03712405  0.23714972  0.00179497  0.045957   -0.0057641   0.1731113
 -0.17799854 -0.06992617 -0.08954846 -0.00195006  0.10784315 -0.08598818
  0.00623567  0.12897411 -0.11237919  0.33076951 -0.04031247 -0.04267821
  0.04018871 -0.03037503 -0.0513312   0.00740786  0.18223181 -0.17786635
  0.21707636  0.22557431  0.03423616  0.1381295   0.0721399   0.10947049
 -0.06380861  0.0650775  -0.17305636 -0.081141   -0.07337297  0.0349559
  0.0257722   0.01505537]","['7295172273592339713.mp4_scene_1', '7295172273592339713.mp4_scene_7', '7295172273592339713.mp4_scene_10', '7295172273592339713.mp4_scene_11', '7295172273592339713.mp4_scene_13', '7295172273592339713.mp4_scene_15', '7295172273592339713.mp4_scene_16', '7295723846143839489.mp4_scene_1', '7294994059897097473.mp4_scene_1', '7293789582116556034.mp4_scene_3', '7293789582116556034.mp4_scene_7', '7293789582116556034.mp4_scene_9', '7290776842250833153.mp4_scene_1', '7290776842250833153.mp4_scene_5', '7290776842250833153.mp4_scene_6', '7290776842250833153.mp4_scene_13', '7287927341144083714.mp4_scene_1', '7287537715829148930.mp4_scene_1', '7287823285566426369.mp4_scene_1', '7287823285566426369.mp4_scene_5']",20,"['7287823285566426369', '7295172273592339713', '7287537715829148930', '7294994059897097473', '7295723846143839489', '7287927341144083714', '7293789582116556034', '7290776842250833153']",8
face_43,"[-0.09002743  0.07906455  0.10210486 -0.05957303 -0.05076436  0.03220129
 -0.0467151  -0.0850718   0.19336833 -0.08624426  0.1599706   0.0361687
 -0.22534922  0.02309008 -0.02251687  0.08071368 -0.17371845 -0.13987795
 -0.16567826 -0.11270387 -0.00773429  0.09801297 -0.02210402 -0.03818153
 -0.23860338 -0.27334529 -0.06638776 -0.1173046   0.12438564 -0.14484696
 -0.01339035 -0.03917089 -0.13672611 -0.04691947  0.06461498  0.03247688
 -0.0355313  -0.0501599   0.23486786  0.02739898 -0.14661388  0.05333643
  0.05847979  0.26308465  0.17783442  0.02585865  0.06084573 -0.1205402
  0.13544473 -0.26183021  0.09854119  0.14122832  0.11448754  0.1257489
  0.11614259 -0.18754119 -0.02116397  0.18487085 -0.19738992  0.26436293
  0.15444955 -0.12083431 -0.1041895  -0.00062725  0.11488431  0.03294519
 -0.16529685 -0.18324301  0.18735857 -0.15972616 -0.02876829  0.0687946
 -0.02762545 -0.16419855 -0.23993401  0.05752957  0.33900195  0.12897237
 -0.24262194 -0.02623368 -0.0568467  -0.03565815  0.00276958  0.06921451
 -0.10031302 -0.07030406 -0.04458343  0.01854463  0.21375245  0.06870367
  0.06591659  0.23916897  0.03700108 -0.05627891  0.01810987  0.14582142
 -0.22363669 -0.06709929 -0.0582418   0.00289907  0.0797792  -0.13345665
  0.02685101  0.14617163 -0.17515647  0.29595912 -0.07668331 -0.05505161
  0.03104445  0.00338836 -0.02869415 -0.0298067   0.23554191 -0.25261381
  0.17625798  0.23626617  0.05760816  0.11446128  0.0238115   0.08128433
  0.02416776  0.10453626 -0.20259394 -0.1455128  -0.0943715  -0.118609
 -0.03559676  0.05493838]","['7293789582116556034.mp4_scene_4', '7293789582116556034.mp4_scene_6', '7292397425065577729.mp4_scene_1', '7287823285566426369.mp4_scene_17']",4,"['7293789582116556034', '7292397425065577729', '7287823285566426369']",3
LT Masha Michelson,"[-0.05193103  0.02225003  0.01086869 -0.03520487 -0.13899778  0.03020639
  0.01431345 -0.08735834  0.22582152 -0.02688433  0.25649121 -0.12852624
 -0.27599877  0.08760282 -0.02729175  0.17268598 -0.07729833 -0.06587168
 -0.07398821 -0.03793224  0.03950289  0.00449795 -0.01953003  0.10871652
 -0.0910858  -0.31203038 -0.06228092 -0.17797755  0.05826014 -0.0606135
 -0.04759337  0.12772565 -0.06516371 -0.03757178  0.09038682  0.06701285
 -0.07604934 -0.11416703  0.26774827 -0.04665544 -0.24851945 -0.02518421
  0.11107812  0.22553816  0.15784869 -0.01506179  0.0252143  -0.06386295
  0.14506775 -0.28035972  0.05547633  0.10415739  0.10191996  0.13174035
  0.11553471 -0.22010721  0.01525655  0.12393545 -0.24802691  0.06001586
  0.08109131 -0.0596047   0.00282804 -0.07537251  0.25163856  0.15497635
 -0.14535239 -0.12879172  0.14483209 -0.14447863 -0.00624459  0.15022272
 -0.16393617 -0.20317775 -0.2047928   0.02620293  0.43642211  0.11880605
 -0.18208891 -0.00588328 -0.051024   -0.07219563  0.07594609  0.06687988
  0.07428729 -0.09099688 -0.08991566 -0.04476072  0.21411628 -0.10667627
  0.03867462  0.25413892 -0.01469168 -0.00488935 -0.03768169  0.15785189
 -0.14348587 -0.01796046 -0.11433841 -0.04244991 -0.01509117 -0.01400189
  0.02752718  0.05772615 -0.23033427  0.1545718  -0.00989401  0.00630854
 -0.02794177 -0.03914806 -0.0287881   0.03331706  0.19474152 -0.29682505
  0.17771205  0.05502854  0.04398225  0.11489314 -0.036071    0.01668571
  0.03073101 -0.09773174 -0.19698974 -0.05740917  0.0269138  -0.01398847
 -0.06371166  0.03730565]","['7288363457341164801.mp4_scene_1', '7289300995413249282.mp4_scene_8', '7288863058158472449.mp4_scene_1', '7288863058158472449.mp4_scene_3', '7288863058158472449.mp4_scene_5', '7288863058158472449.mp4_scene_11', '7288863058158472449.mp4_scene_16']",7,"['7288863058158472449', '7288363457341164801', '7289300995413249282']",3
face_69,"[-0.11210845  0.0779435  -0.00999059 -0.00706232 -0.0837431  -0.06568293
  0.01276359 -0.19064352  0.10959702 -0.02399632  0.21746941 -0.00822406
 -0.26044434 -0.05877152 -0.09252454  0.11271945 -0.15033449 -0.10845088
 -0.09657528  0.01988974  0.05302918  0.06848067  0.06359138  0.05323294
 -0.06415436 -0.32810208 -0.06758058 -0.05556419  0.16342056 -0.11462983
  0.0294504   0.06923497 -0.14638263 -0.03606398  0.03974381  0.0295864
 -0.00513312 -0.09745274  0.26179129  0.13013893 -0.20051008  0.02711816
  0.02240337  0.3056204   0.1365335   0.01383922  0.07648662 -0.10967158
  0.0361753  -0.23250788  0.03918685  0.13021113  0.10591486 -0.00391372
  0.12642013 -0.22252622 -0.01760694  0.05225101 -0.1905144   0.08853949
  0.10109325  0.01903858  0.00149354 -0.08507205  0.12423059  0.06142417
 -0.0817872  -0.06170316  0.17002338 -0.16329676 -0.05857956  0.01889911
 -0.0432963  -0.13090381 -0.20712897 -0.01942465  0.34816954  0.16386497
 -0.15935335  0.02805862 -0.04378311 -0.06113906  0.03591302  0.03280798
 -0.10444926  0.00070752 -0.05856679 -0.01042873  0.13131315  0.06741454
  0.02019288  0.2336801  -0.00381435 -0.04458591  0.06340066  0.01270879
 -0.13962731  0.01105642 -0.04350294 -0.02231199  0.01906332 -0.16139826
  0.1026417   0.10470413 -0.21083638  0.15195805 -0.02250628 -0.03700912
  0.05638564  0.04835172 -0.07151459  0.03928529  0.12625924 -0.24778911
  0.26718873  0.17349969  0.00855387  0.09389645  0.05309473  0.07632467
 -0.01238939  0.04493652 -0.09943913 -0.14477223 -0.02709471 -0.10322411
  0.0275784   0.02654044]","['7290114648513236226.mp4_scene_3', '7289095056084995330.mp4_scene_24']",2,"['7289095056084995330', '7290114648513236226']",2
face_53,"[-0.03697215  0.09344718  0.05427792 -0.03933547  0.0035376   0.03243791
 -0.01849978 -0.05044769  0.19357643 -0.09360041  0.2194024   0.06940709
 -0.17517829 -0.00237009  0.00864796  0.10666944 -0.17971483 -0.07456434
 -0.17173742 -0.11747643 -0.02148895  0.13802546 -0.02673327 -0.09400483
 -0.19217682 -0.3283546  -0.06021019 -0.05117765  0.10328449 -0.13777632
  0.02135292 -0.01214034 -0.14513618  0.01429708  0.03635968 -0.03636253
 -0.02979903 -0.00166392  0.17603773  0.08278063 -0.16261563  0.04383403
  0.02985059  0.29432875  0.18847522  0.00467282  0.0567165  -0.16202196
  0.08199867 -0.25575525  0.1099896   0.10845567 -0.00369021  0.11212526
  0.10093834 -0.13280578 -0.10707727  0.15201882 -0.13534915  0.17403752
  0.11422262 -0.02965552 -0.10118786 -0.0465932   0.13091868  0.07536263
 -0.15524098 -0.17927992  0.13249563 -0.13690847 -0.04677218  0.03818195
 -0.04324855 -0.18917078 -0.28803018  0.09120359  0.36278063  0.10333809
 -0.18026632 -0.01281187 -0.0548601  -0.05100543  0.11191522  0.07997884
 -0.06939881 -0.0519252   0.0112231   0.11971566  0.24062501  0.03335448
 -0.02156074  0.18942274 -0.04865454 -0.02294774 -0.03694176  0.14731683
 -0.15638757 -0.00532187 -0.0969875  -0.01702034  0.0987486  -0.05854582
  0.0320974   0.18679787 -0.146042    0.30629659  0.00208765 -0.03595789
  0.09587231  0.03428908 -0.01005783 -0.0152847   0.17360918 -0.20823124
  0.24903814  0.18955305  0.05396894  0.11942321  0.00720122  0.06759194
 -0.00385796  0.06682207 -0.21335086 -0.05397832 -0.07829584 -0.03880374
 -0.00666068  0.01087799]","['7292702865406119170.mp4_scene_1', '7287823285566426369.mp4_scene_13']",2,"['7292702865406119170', '7287823285566426369']",2
face_83,"[-1.29996613e-01  1.28990442e-01  3.04747466e-02 -1.02052167e-01
 -9.66089368e-02  8.30342472e-02 -1.77518409e-02 -9.19106603e-02
  1.40100271e-01 -4.57160547e-02  1.55155808e-01  1.83017403e-02
 -2.82112211e-01 -7.33964592e-02  2.74579227e-03  9.98301059e-02
 -1.46417141e-01 -8.76400620e-02 -1.43063605e-01 -7.38422945e-02
 -1.84542183e-02  5.46332225e-02 -8.79025832e-03  7.40722567e-03
 -4.49718013e-02 -2.31904045e-01 -5.74269816e-02 -4.93734851e-02
  6.13925830e-02 -1.21096462e-01 -6.58904389e-03 -4.39577289e-02
 -2.64806032e-01 -1.10528991e-01 -6.11107796e-03  6.04505725e-02
 -7.47277588e-02 -6.51210099e-02  2.08012462e-01 -5.56644984e-02
 -1.42698050e-01  4.34542894e-02  1.25280529e-01  2.54586875e-01
  1.56120509e-01  5.10592572e-03 -5.39888926e-02  8.52692127e-03
  1.43940181e-01 -2.34840035e-01  7.56528974e-02  9.52920541e-02
  1.72524869e-01  9.14549083e-02  4.96270135e-02 -2.20234126e-01
  3.76462936e-03  1.92920625e-01 -1.45397976e-01  8.83612856e-02
  6.57483935e-02 -1.48907065e-01 -6.93949461e-02 -3.76152694e-02
  1.96306199e-01  9.01624039e-02 -9.50641632e-02 -2.18932375e-01
  1.25631258e-01 -8.30567032e-02 -6.60114177e-03  9.73517150e-02
 -7.51578957e-02 -9.26592201e-02 -2.79450476e-01  1.14913538e-01
  2.79758275e-01  1.24955483e-01 -1.94780052e-01 -3.86241414e-02
 -7.92542249e-02 -1.85988843e-04 -1.29362047e-02  3.79591435e-02
 -8.20308849e-02 -1.17363036e-03 -9.54857469e-02  3.77435088e-02
  1.54503956e-01  1.13592446e-02 -7.57996365e-03  2.29045630e-01
  7.04662651e-02 -3.03129926e-02 -9.44369286e-03  4.83108982e-02
 -1.26110941e-01 -5.51651418e-02 -1.61006972e-01  7.74236023e-03
  8.72861296e-02 -1.03231356e-01  3.28730643e-02  1.65603027e-01
 -1.95279464e-01  1.67386025e-01 -8.09627771e-03 -1.66019090e-02
 -2.17631608e-02 -3.31893712e-02 -4.00592051e-02  1.22453272e-02
  1.44220814e-01 -2.69792467e-01  2.23145440e-01  1.51176035e-01
  1.06667029e-02  1.11813560e-01  6.83920607e-02  5.76262027e-02
  1.34931505e-02  2.08085179e-02 -1.63814068e-01 -1.37763888e-01
  7.01021776e-02 -2.85656676e-02  7.60015696e-02  8.05103704e-02]","['7289095056084995330.mp4_scene_4', '7287562362020809986.mp4_scene_19']",2,"['7287562362020809986', '7289095056084995330']",2
CPT Tammy Shur,"[-2.40223780e-02  8.80661607e-03  1.39090776e-01 -7.30594695e-02
 -8.22929814e-02 -1.97474733e-02 -5.24640158e-02 -1.23187847e-01
  1.56995445e-01 -1.26387581e-01  2.26102844e-01 -4.78895418e-02
 -2.57347405e-01  6.65422976e-02 -4.84362245e-04  1.53163046e-01
 -8.21883306e-02 -1.11974940e-01 -2.90903635e-02  1.44730806e-02
  2.48407014e-03  8.22060257e-02  7.33540058e-02  2.10080445e-02
 -6.65409043e-02 -3.09924304e-01 -1.48601651e-01  7.12849200e-04
  6.24232590e-02 -2.81122625e-02 -2.07666755e-02  6.51721135e-02
 -1.84547275e-01  2.77356058e-03  1.89953595e-02  1.22441798e-01
 -1.92619100e-01 -2.13538259e-01  1.85817316e-01  3.07957157e-02
 -2.08547682e-01 -5.62145114e-02  5.67224622e-03  1.82072088e-01
  1.94545895e-01  1.37240626e-03  7.31236711e-02 -1.04175448e-01
  5.56219667e-02 -3.01394939e-01  1.03356484e-02  1.60583884e-01
 -4.66932077e-03  8.94861221e-02  4.08805162e-03 -1.66018575e-01
  2.60394812e-02  2.20281541e-01 -2.36008555e-01  4.74605635e-02
  5.22050932e-02 -2.73443013e-03  5.11226691e-02 -5.83010167e-02
  2.18475521e-01  1.37209192e-01 -1.52195796e-01 -1.47233218e-01
  1.88091278e-01 -1.69622302e-01 -2.71100551e-02  1.28504977e-01
 -1.80356741e-01 -2.48703942e-01 -2.11740613e-01  3.98243964e-03
  4.19719934e-01  5.65692149e-02 -1.38718626e-02  3.89557891e-02
 -6.44773468e-02 -4.65940349e-02 -1.71620920e-02  7.74152204e-02
  1.01076625e-02 -6.71127811e-02 -9.31397676e-02 -1.54631436e-02
  2.70461619e-01 -7.12456554e-02 -1.71513967e-02  2.19870001e-01
 -3.05792466e-02 -7.38449395e-03  7.32763857e-03  1.20313600e-01
 -6.90166429e-02  1.65565982e-02 -1.41622514e-01 -2.96751484e-02
 -9.55240428e-02 -9.65716243e-02 -2.50693709e-02  1.44373849e-01
 -1.46387950e-01  2.17737839e-01 -2.24471092e-04 -3.01619228e-02
  2.86897495e-02 -4.75902408e-02 -1.13947734e-01 -6.16566911e-02
  1.66313365e-01 -2.72645354e-01  1.43899232e-01  1.69271708e-01
  7.94973671e-02  1.37774691e-01  3.21758538e-02  1.37938082e-01
 -2.56966054e-03 -3.23682353e-02 -2.02519611e-01 -5.81871904e-02
 -4.95509431e-03  2.82114968e-02 -1.80231035e-02  5.16112819e-02]","['7293175145424751873.mp4_scene_1', '7295793486308101378.mp4_scene_1', '7295793486308101378.mp4_scene_3', '7295793486308101378.mp4_scene_5', '7295793486308101378.mp4_scene_14', '7295793486308101378.mp4_scene_15']",6,"['7293175145424751873', '7295793486308101378']",2
face_7,"[-0.12886146  0.13317263  0.13203934 -0.03249724 -0.03884232  0.05542083
 -0.02443109 -0.07283197  0.15622328 -0.10648305  0.18761823  0.02899328
 -0.18970746 -0.01932201 -0.10071793  0.16096333 -0.1085929  -0.14431994
 -0.06758538 -0.07901882  0.08644453  0.00933991 -0.04704835 -0.00475815
 -0.16840495 -0.32844719 -0.01844396 -0.10128253 -0.04076406 -0.06074645
  0.04773177  0.02415573 -0.19535828  0.0469111  -0.01664641  0.04675371
  0.04637266  0.01673661  0.10302954 -0.01447434 -0.17814155  0.01937565
  0.02643842  0.28118131  0.16560403 -0.02168231  0.05104912 -0.02617578
  0.10090794 -0.24983855  0.06082529  0.07175253  0.09072506  0.05123631
  0.07370801 -0.12572977 -0.0451611   0.09275586 -0.12315022  0.10075769
  0.06547012 -0.0570921  -0.08976111 -0.08980387  0.19058494  0.08348082
 -0.18726811 -0.11261486  0.15006338 -0.11012721  0.0133978  -0.01374079
 -0.12453724 -0.15290578 -0.27393094  0.09774707  0.42145818  0.15421747
 -0.22083929  0.01083419 -0.09173923  0.07491265  0.03775331  0.09162532
 -0.01200673  0.03821306 -0.02582068  0.06367834  0.17116694  0.01708135
 -0.05677544  0.21818775 -0.05579735 -0.02487438 -0.06507318  0.03421197
 -0.10019859 -0.01471731 -0.1207153   0.00731075 -0.06091913 -0.00574026
 -0.0082611   0.11725129 -0.15847762  0.17496245 -0.02908519  0.05851199
  0.00102966  0.09755294 -0.11471675 -0.03475539  0.12203655 -0.1899894
  0.16331676  0.16595408  0.04737153  0.11448027  0.0922794   0.03163636
  0.06643417  0.02660942 -0.17386486 -0.06863852  0.0443359  -0.09722614
  0.01494811  0.02288387]","['7295335070162849026.mp4_scene_23', '7293266381401754881.mp4_scene_16']",2,"['7293266381401754881', '7295335070162849026']",2
face_78,"[-0.21430795  0.1294702   0.09532528 -0.07023608 -0.09457215  0.05081766
 -0.02601126 -0.09681654  0.12106861 -0.0169711   0.14146706 -0.07395981
 -0.26074314  0.10980377 -0.01133501  0.15654448 -0.1984109  -0.10275356
 -0.06287605 -0.06397887  0.04875598  0.08767101  0.02052406  0.11014053
 -0.19567847 -0.25282076 -0.08536067 -0.11293631  0.01397447 -0.06188729
 -0.02297759  0.02692298 -0.17243241  0.06197885  0.04996387  0.13857904
 -0.04797852 -0.06567573  0.18695906  0.00650506 -0.18149897  0.00852379
  0.13330135  0.25083333  0.22558691 -0.03131317  0.04536168 -0.0328837
  0.0935367  -0.33034343  0.02908288  0.16217026  0.03038345  0.14690419
  0.10259007 -0.22886832  0.00308189  0.1354726  -0.11133268  0.15625793
  0.0397869  -0.11057491  0.0629065   0.03827102  0.24785154  0.08286792
 -0.15387723 -0.17407148  0.14741397 -0.12861592 -0.03070594  0.1811371
 -0.13796405 -0.20405599 -0.26882663  0.07253678  0.39976087  0.09517717
 -0.20459029  0.06762679 -0.1150702  -0.02843895  0.04501925  0.15056309
  0.03542282 -0.03044181 -0.16147122  0.02478397  0.2858949  -0.08046471
  0.031266    0.29594126  0.06322139 -0.03381401  0.02022488  0.16727373
 -0.14164093 -0.11739485 -0.12350994 -0.06374376 -0.03880888 -0.03962473
 -0.06456511  0.12669221 -0.200607    0.15545145 -0.01579271 -0.08134989
 -0.15548539 -0.03729585 -0.04406745  0.01655594  0.16060863 -0.33223096
  0.16630632  0.18441869 -0.04928752  0.1371745  -0.00643913  0.06974302
  0.03648528  0.01862347 -0.03238416 -0.08162405  0.02129893  0.00167648
 -0.07166454  0.0500945 ]","['7289287958908144897.mp4_scene_5', '7288002760522353922.mp4_scene_2', '7288002760522353922.mp4_scene_3']",3,"['7288002760522353922', '7289287958908144897']",2
face_12,"[-8.93401951e-02  7.97167569e-02  1.42075360e-01 -8.26251954e-02
 -1.74527034e-01  6.06222749e-02 -5.23059219e-02 -1.08637638e-01
  1.10938460e-01 -7.49345571e-02  2.41685376e-01 -7.08257109e-02
 -2.53623784e-01  3.30508836e-02 -4.93373051e-02  1.87814787e-01
 -1.45313010e-01 -1.48667276e-01 -6.00969754e-02 -9.28186327e-02
 -5.51272593e-02 -4.14563343e-04  1.01053342e-02  5.13211638e-02
 -1.07568614e-01 -3.14136028e-01 -5.89126647e-02 -3.72240953e-02
  4.85151261e-03 -7.02643096e-02 -2.56047025e-03  1.41858920e-01
 -1.38278186e-01  6.12872653e-02  2.72897258e-02  5.79483770e-02
 -2.56785378e-02 -1.28030181e-01  1.83223501e-01 -4.06006277e-02
 -1.62111342e-01 -1.40850246e-02  6.57561719e-02  2.05374673e-01
  2.56172657e-01 -4.52679433e-02  6.12702146e-02 -3.95429134e-02
  8.10953826e-02 -2.53663570e-01  3.06110252e-02  1.61714464e-01
  4.49454710e-02  4.90685999e-02  9.82010216e-02 -1.99970692e-01
 -7.91361034e-02  1.34080261e-01 -1.01021163e-01  3.65031287e-02
 -5.82461730e-02 -6.00752458e-02 -8.99594557e-03 -1.75271124e-01
  2.23006442e-01  1.53307587e-01 -1.24239430e-01 -1.81302458e-01
  2.20721334e-01 -1.19229391e-01 -7.35578164e-02  7.74989650e-02
 -1.95105582e-01 -1.51814461e-01 -2.73918688e-01  1.14233792e-02
  3.29878032e-01  1.36082560e-01 -2.26970315e-01  5.06198257e-02
 -1.52536500e-02 -1.47889405e-02 -2.91178674e-02  1.41547322e-01
 -9.00997221e-03 -1.34781525e-02 -5.64188436e-02 -3.16238999e-02
  1.93159193e-01 -3.81675959e-02 -7.51636997e-02  2.47374684e-01
 -3.08072940e-02 -5.35255149e-02  4.67032902e-02  6.55427799e-02
 -5.04438505e-02 -5.98366186e-02 -1.53804973e-01 -7.65321255e-02
 -4.02010679e-02 -6.06362894e-02 -2.64541805e-02  1.26965374e-01
 -1.67395145e-01  1.25655949e-01 -6.74502030e-02  3.66618633e-02
 -7.89912120e-02 -1.74313784e-04 -1.80161297e-02  1.08069181e-02
  2.02277243e-01 -3.04554522e-01  1.38707131e-01  1.52631626e-01
 -1.99482292e-02  1.45830512e-01  2.85538808e-02  1.06570311e-01
  1.33998841e-02 -1.12860799e-02 -5.08510023e-02 -8.91969353e-02
 -5.70889562e-04 -3.43326777e-02 -4.78722155e-03  1.02009811e-01]","['7295278107102022914.mp4_scene_26', '7292023312455077121.mp4_scene_11']",2,"['7292023312455077121', '7295278107102022914']",2
