id,url,from_dataset,start_frame,start_time,start_fps,end_frame,end_time,end_fps,scene_num,num_scenes_detected,total_video_frames,total_video_duration,post_ids
7288363457341164801.mp4_scene_1,7288363457341164801,ced8b6aa45d34219f9d65ab4c8b83990,0,00:00:00.000,30.0,257,00:00:08.567,30.0,1,8,1576,00:00:52.533,"7,2,8,8,3,6,3,4,5,7,3,4,1,1,6,4,8,0,1"
7288363457341164801.mp4_scene_2,7288363457341164801,ced8b6aa45d34219f9d65ab4c8b83990,257,00:00:08.567,30.0,422,00:00:14.067,30.0,2,8,1576,00:00:52.533,"7,2,8,8,3,6,3,4,5,7,3,4,1,1,6,4,8,0,1"
7288363457341164801.mp4_scene_3,7288363457341164801,ced8b6aa45d34219f9d65ab4c8b83990,422,00:00:14.067,30.0,563,00:00:18.767,30.0,3,8,1576,00:00:52.533,"7,2,8,8,3,6,3,4,5,7,3,4,1,1,6,4,8,0,1"
7288363457341164801.mp4_scene_4,7288363457341164801,ced8b6aa45d34219f9d65ab4c8b83990,563,00:00:18.767,30.0,905,00:00:30.167,30.0,4,8,1576,00:00:52.533,"7,2,8,8,3,6,3,4,5,7,3,4,1,1,6,4,8,0,1"
7288363457341164801.mp4_scene_5,7288363457341164801,ced8b6aa45d34219f9d65ab4c8b83990,905,00:00:30.167,30.0,1139,00:00:37.967,30.0,5,8,1576,00:00:52.533,"7,2,8,8,3,6,3,4,5,7,3,4,1,1,6,4,8,0,1"
7288363457341164801.mp4_scene_6,7288363457341164801,ced8b6aa45d34219f9d65ab4c8b83990,1139,00:00:37.967,30.0,1233,00:00:41.100,30.0,6,8,1576,00:00:52.533,"7,2,8,8,3,6,3,4,5,7,3,4,1,1,6,4,8,0,1"
7288363457341164801.mp4_scene_7,7288363457341164801,ced8b6aa45d34219f9d65ab4c8b83990,1233,00:00:41.100,30.0,1357,00:00:45.233,30.0,7,8,1576,00:00:52.533,"7,2,8,8,3,6,3,4,5,7,3,4,1,1,6,4,8,0,1"
7288363457341164801.mp4_scene_8,7288363457341164801,ced8b6aa45d34219f9d65ab4c8b83990,1357,00:00:45.233,30.0,1576,00:00:52.533,30.0,8,8,1576,00:00:52.533,"7,2,8,8,3,6,3,4,5,7,3,4,1,1,6,4,8,0,1"
7295526580741229825.mp4_scene_1,7295526580741229825,ced8b6aa45d34219f9d65ab4c8b83990,0,00:00:00.000,25.0,50,00:00:02.000,25.0,1,5,222,00:00:08.880,"7,2,9,5,5,2,6,5,8,0,7,4,1,2,2,9,8,2,5"
7295526580741229825.mp4_scene_2,7295526580741229825,ced8b6aa45d34219f9d65ab4c8b83990,50,00:00:02.000,25.0,100,00:00:04.000,25.0,2,5,222,00:00:08.880,"7,2,9,5,5,2,6,5,8,0,7,4,1,2,2,9,8,2,5"
