id,thread_id,author,author_full,author_followers,author_likes,author_videos,author_avatar,body,timestamp,unix_timestamp,is_duet,is_ad,is_paid_partnership,is_sensitive,is_photosensitive,music_name,music_id,music_url,music_thumbnail,music_author,video_url,tiktok_url,thumbnail_url,likes,comments,shares,plays,hashtags,challenges,diversification_labels,location_created,stickers,effects,warning,missing_fields,annotation_number of shots,annotation_Shot Length & Pacing,annotation_video length,annotation_format,annotation_creators,annotation_shot type,annotation_subtitle/caption(overlap text),annotation_topics,annotation_caption type,annotation_background Music
7205351622480825643,7205351622480825643,bbnv.anna,Anna,63400,2430,323,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7332766403373580334~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&nonce=91731&refresh_token=219541ea62502b060441a407f34366bc&x-expires=1740848400&x-signature=HGXz7xJCAt%2BLYoilN4pq33KpZkY%3D&idc=no1a&ps=13740610&shcp=b59d6b55&shp=a5d48078&t=4d5b0474,I changed my shooting location 🖤 what do you think? 👀🫶🏼 #grwm #style #fashion #perfectjeans #blackcoat #ysl #falloutfits #winteroutfits #wardrobe #andotherstories #gianvitorossi #designerclothes #ootd #fyp,2023-02-28 23:24:24,1677626664,no,no,no,no,no,babydoll x the perfect girl (speed),7188151288238966786,,https://p16-sign-sg.tiktokcdn.com/tos-alisg-v-2774/c9b502cd4ad64813b659122be179736b~720x720.jpeg?lk3s=08d74b56&x-expires=1740699050&x-signature=EEVbUHFVcR2qPqrCsCtQheg9eqE%3D,INDRAGERSN,,https://www.tiktok.com/@bbnv.anna/video/7205351622480825643,,147100,336,5404,4600000,"grwm,style,fashion,perfectjeans,blackcoat,ysl,falloutfits,winteroutfits,wardrobe,andotherstories,gianvitorossi,designerclothes,ootd,fyp","grwm,style,fashion,perfectjeans,blackcoat,ysl,falloutfits,winteroutfits,wardrobe,andotherstories,gianvitorossi,designerclothes,OOTD,fyp",,,"get ready with me 
bbnv.anna
get ready with me",,,,,,,,,,,,,
7444231875545074966,7444231875545074966,learoetger,Lea Marie Rötger,63300,11000,776,https://p16-pu-sign-no.tiktokcdn-eu.com/tos-no1a-avt-0068c001-no/3501e3119cc72b4814646bb5827c86fe~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&nonce=66596&refresh_token=d4380280c74bce619458cbfa4049fdb3&x-expires=1740848400&x-signature=tC5202yw%2BUt5JYTN6tPmIqMqsIg%3D&idc=no1a&ps=13740610&shcp=b59d6b55&shp=a5d48078&t=4d5b0474,"If you don't know what to wear in winter, here's an easy, cute and warm outfit inspo ❄️✨ #winterinspo #fitinspo #winterfit #winterfashion #coldweather #fashiontiktok #fitinspiration #knitwear ",2024-12-03 17:01:43,1733245303,no,no,no,no,no,original sound,7413666522826853136,https://v16m.tiktokcdn-eu.com/29538f5354f5fad338f182145e7683af/67c1f2e8/video/tos/alisg/tos-alisg-v-27dcd7/oQFJOAkm4CnRBvtPExPq3JRBQGFfYeQ5UUagQD/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=.NpOcInz7ThN9j-OXq8Zmo&mime_type=audio_mpeg&qs=6&rc=aTc8ODU6Ojs0NTRoOWZlPEBpanEzNHI5cnVkdTMzODU8NEAzLjEvMDA2NTAxNi9iMzQwYSNqZXFpMmRjMWVgLS1kMS1zcw%3D%3D&vvpl=1&l=2025022801304912B46D0B9375441AE559&btag=e00088000&download=true,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/bdcf524d7c6a289666551ec8440ef4fe~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&nonce=39740&refresh_token=767fb96bfd27b3583260f85355e17699&x-expires=1740848400&x-signature=Vi%2B%2BOD%2FvWsuSmk36pf%2BMNZbfkUw%3D&idc=no1a&ps=13740610&shcp=b59d6b55&shp=a5d48078&t=4d5b0474,Matthew Ifield,,https://www.tiktok.com/@learoetger/video/7444231875545074966,,58000,274,2346,740200,"winterinspo,fitinspo,winterfit,winterfashion,coldweather,fashiontiktok,fitinspiration,knitwear","winterinspo,fitinspo,winterfit,winterfashion,coldweather,fashiontiktok,fitinspiration,knitwear",,,EASY AND CUTE WINTER FIT ,,,,,,,,,,,,,
7445253171158715654,7445253171158715654,katiaraif,KATIA,21100,2178,80,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/d2075b41dcb3526696ff6a946655e06a~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&nonce=36399&refresh_token=a412825866037fb8b0aea181f93e9b87&x-expires=1740848400&x-signature=pvJCqb7Ptc68RaEQIdkE3M0WT%2Bs%3D&idc=no1a&ps=13740610&shcp=b59d6b55&shp=a5d48078&t=4d5b0474,Super cozy winter outfit idea 🧸🤍 #grwm #winteroutfit #winterootd #wintermood #sinsay #sweater #cuteoutfits #furcoat ,2024-12-06 11:04:58,1733483098,no,no,no,no,no,sonido original,7180780902686935814,https://v16m.tiktokcdn-eu.com/f6653ecf598920c10f29e079fbd1fd65/67c1f2e0/video/tos/useast2a/tos-useast2a-v-27dcd7/okiJApDNKE8I7OJGUOI1hfQQnbCxeBL2dBqj0o/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=.NpOcInz7ThN9j-OXq8Zmo&mime_type=audio_mpeg&qs=6&rc=OTQzZmc2ZDM8Nzo2Ojo2PEBpanVuNDM6ZmduaDMzNzU8M0BiMWNhYjQtNi8xM2AtNDIxYSM1cWxjcjRfMWdgLS1kMTZzcw%3D%3D&vvpl=1&l=2025022801304912B46D0B9375441AE559&btag=e000b8000&download=true,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/13a0214f7cddb01023ed3cbcdb6acb89~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&nonce=36270&refresh_token=b33d160d791770679d3c01ca1088db6d&x-expires=1740848400&x-signature=zdwSbWsuuSHXBEum9PIZHH8mEeQ%3D&idc=no1a&ps=13740610&shcp=b59d6b55&shp=a5d48078&t=4d5b0474,𝐛𝐥𝐚𝐢𝐫,,https://www.tiktok.com/@katiaraif/video/7445253171158715654,,50800,133,1770,1000000,"grwm,winteroutfit,winterootd,wintermood,sinsay,sweater,cuteoutfits,furcoat","grwm,winteroutfit,winterootd,wintermood,sinsay,sweater,cuteoutfits,furcoat",,,,,,,,,,,,,,,,
7447133242114821381,7447133242114821381,ashevna,Anastasia,302600,17500,689,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/768b5480dc59dd82e55b4d2a0210e819~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&nonce=72744&refresh_token=2400639834c894d81fc21bcf4967458d&x-expires=1740848400&x-signature=JAs%2BRcbgrJMovOifwAnVvOkx0MI%3D&idc=no1a&ps=13740610&shcp=b59d6b55&shp=a5d48078&t=4d5b0474,Full outfit info in my ig ashevna 🖤 #ootd #outfitinspo #outfitidea #winteroutfit #winteroutfits #winteroutfitideas #winteroutfitinspo #winteroutfit2024 ,2024-12-11 12:40:32,1733920832,no,no,no,no,no,original sound,7447133263222426374,https://v16m.tiktokcdn-eu.com/fb29cee7d88482d7fa2c01f6acdc4683/67c1f2d7/video/tos/useast2a/tos-useast2a-v-27dcd7/oQiRmEAZvBcdD4CVQZiZChiniQ1YlEQSMPIIU/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=.NpOcInz7ThN9j-OXq8Zmo&mime_type=audio_mpeg&qs=6&rc=OWRkODhoaTQ2PDplZGRlOEBpM3JqcXI5cmpydzMzNzU8M0A1My02YTBgXy8xXzZjM140YSNlNV9kMmRrZGBgLS1kMTZzcw%3D%3D&vvpl=1&l=2025022801304912B46D0B9375441AE559&btag=e000b0000&download=true,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/768b5480dc59dd82e55b4d2a0210e819~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&nonce=1402&refresh_token=abc85e6b1aa8c50d66b70627cec22cee&x-expires=1740848400&x-signature=DYBwiGcUOfSoi9NWi9G47xWqGXU%3D&idc=no1a&ps=13740610&shcp=b59d6b55&shp=a5d48078&t=4d5b0474,Anastasia,https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-pve-0068/oUUZ1tPiMEIMQEvIXAizAiFBoJkWBgtEfMrCw0/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=1464&bt=732&cs=0&ds=3&ft=-Csk_mIRPD12NOcSoE-UxWN2hY3W3wv25AcAp&mime_type=video_mp4&qs=0&rc=NWdmZDY2ZTxoNzw1NTkzZUBpam5ta245cnRydzMzNzczM0A1NGJhMzM2NTIxYjYxXmA1YSMxLS5qMmRzY2BgLS1kMTZzcw%3D%3D&btag=e000b0000&expire=1740850263&l=2025022801304912B46D0B9375441AE559&ply_type=2&policy=2&signature=ee0e13d92184d6256e7e4390ca78b006&tk=tt_chain_token,https://www.tiktok.com/@ashevna/video/7447133242114821381,,6268,30,365,218100,"ootd,outfitinspo,outfitidea,winteroutfit,winteroutfits,winteroutfitideas,winteroutfitinspo,winteroutfit2024","OOTD,outfitinspo,outfitidea,winteroutfit,winteroutfits,winteroutfitideas,winteroutfitinspo,winteroutfit2024",,,"Winter outfit❄️
winter outfit❄️",,,,,,,,,,,,,
7449065823429299487,7449065823429299487,adrisalsi,Adri,29000,12100,320,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b79a80cda8ec500a63e74983eaad2c7~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&nonce=56586&refresh_token=31e2d2da7469d73c53e86a79d7cb08cd&x-expires=1740848400&x-signature=6ClAJfAcIZiB7qd6D6Oe4awL040%3D&idc=no1a&ps=13740610&shcp=b59d6b55&shp=a5d48078&t=4d5b0474,more scarf content bc its almost winter 🙏⛄️ #outfitinspo#ootd#outfitideas#streetwear#fashiontiktok#fashion  ,2024-12-16 17:40:15,1734370815,no,no,no,no,no,Love & War,7041734335842273281,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/4cf959909780446d8c4f4ecabda62fc1,https://p77-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/4fb609573a6448578d1dc37c08c7297b.jpeg,Kodak Black,,https://www.tiktok.com/@adrisalsi/video/7449065823429299487,,3956,16,54,67100,"outfitinspo,ootd,outfitideas,streetwear,fashiontiktok,fashion","outfitinspo,OOTD,outfitideas,streetwear,fashiontiktok,fashion",,,,,,,,,,,,,,,,
7188203770814156038,7188203770814156038,whatemwore,whatemwore,596600,1226,556,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/73fe4cb59decf5dc22cb5ee4777f0f6b~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&nonce=33002&refresh_token=10d3fd12aaf7cccc0a3eb59d90961618&x-expires=1740848400&x-signature=QUmoqBoo3rMftt8Wyn1B%2FVkI4nA%3D&idc=no1a&ps=13740610&shcp=b59d6b55&shp=a5d48078&t=4d5b0474,Winter capsule wardrobe ideas ☺️🤍✨ happy Friday lovely people! #tiktokfashion #wintercapsulewardrobe #capsulewardrobe #capsulewardrobestyle #winteroutfitideas #januaryoutfits ,2023-01-13 18:21:58,1673634118,no,no,no,no,no,original sound,7188203795189140229,https://v16m.tiktokcdn-eu.com/1186a9197df64ced543cf1141420c7b4/67c1f2e9/video/tos/useast2a/tos-useast2a-v-27dcd7/ocBVGwAKEU7BUk1NJ3IHSBzxxV0fhgkNAoTCo4/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=.NpOcInz7ThN9j-OXq8Zmo&mime_type=audio_mpeg&qs=6&rc=NjU6Z2hkZmhkaTlnOGZoNkBpMzk4bjw6Zmx0aTMzNzU8M0AxYV5hXl4vNS8xMDFiYC8xYSNuXmRxcjQwLy1gLS1kMTZzcw%3D%3D&vvpl=1&l=2025022801304912B46D0B9375441AE559&btag=e00088000&download=true,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/73fe4cb59decf5dc22cb5ee4777f0f6b~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&nonce=66797&refresh_token=5a7ff6ebd13cc1cd298f687d0debd88b&x-expires=1740848400&x-signature=O20zUEfPfoHEYncYQGUDCSMyRlo%3D&idc=no1a&ps=13740610&shcp=b59d6b55&shp=a5d48078&t=4d5b0474,whatemwore,https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-pve-0068/oMzClnf4dIzh0IQABb1otNhJxBUDIaxgkCVNoA/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=1462&bt=731&cs=0&ds=3&ft=-Csk_mIRPD12NOcSoE-UxWN2hY3W3wv25AcAp&mime_type=video_mp4&qs=0&rc=PGhmNDc0O2U7NTw0ZDQ1O0Bpanc5bTs6ZnR0aTMzNzczM0A1MDYyMF9jXl4xMC5gXzQyYSNhXmIxcjRfLi1gLS1kMTZzcw%3D%3D&btag=e00088000&expire=1740850281&l=2025022801304912B46D0B9375441AE559&ply_type=2&policy=2&signature=a56ffe5525047458c65c01d10cedb8dd&tk=tt_chain_token,https://www.tiktok.com/@whatemwore/video/7188203770814156038,,16800,109,1539,1400000,"tiktokfashion,wintercapsulewardrobe,capsulewardrobe,capsulewardrobestyle,winteroutfitideas,januaryoutfits","tiktokfashion,wintercapsulewardrobe,capsulewardrobe,capsulewardrobestyle,winteroutfitideas,januaryoutfits",,,,,,,,,,,,,,,,
7057214670616268037,7057214670616268037,sophie_apps,Sophie Apps,97500,4405,186,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/d9ec975ec16eae4be2595ff26d14115d~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&nonce=70977&refresh_token=b1cf5496d270f5fe3b8df3cce323af92&x-expires=1740848400&x-signature=aLuF5XJSC5oSdCErvrPKzZjbDTs%3D&idc=no1a&ps=13740610&shcp=b59d6b55&shp=a5d48078&t=4d5b0474,Outfits of the week 🖤 #outfittiktok #fashiontiktok #outfitsoftheweek #outfitinspo #winteroutfits #winteroutfitinspo,2022-01-25 18:37:15,1643135835,no,no,no,no,no,オリジナル楽曲 - funka (フンカ),6726860992392760065,https://v16m.tiktokcdn-eu.com/ebc271f6ac6421d3055942fe83ea246a/67c1f2d4/video/tos/alisg/tos-alisg-v-27dcd7/o0CYQ08TF4QDNKilBCnCYtF1JshgjBoUgBDebe/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=124&bt=62&ft=.NpOcInz7ThN9j-OXq8Zmo&mime_type=audio_mpeg&qs=3&rc=NjxkOmRlOzo4ODY6Nzs3aEBpMzh2bWc6Zmo0NzMzODU8NEAzLzAvNWMvNTUxNTNeNmFiYSNhbGVhcjRval5gLS1kMS1zcw%3D%3D&vvpl=1&l=2025022801304912B46D0B9375441AE559&btag=e000b0000&download=true,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7321737646127579137~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&nonce=6889&refresh_token=0316c79f9822a07381412f307e6a6064&x-expires=1740848400&x-signature=uNYwJQSj8ib4lP8vbPg%2BOA%2FQDeU%3D&idc=no1a&ps=13740610&shcp=b59d6b55&shp=a5d48078&t=4d5b0474,funka (フンカ),https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-pve-0068/317e2e620c9b48c48682f4da39de088c/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=2214&bt=1107&cs=0&ds=3&ft=-Csk_mIRPD12NOcSoE-UxWN2hY3W3wv25AcAp&mime_type=video_mp4&qs=0&rc=ZTpkOmZlOWU2ZDw5Nzc1Z0BpM2w1PDo6Zm43OjMzNzczM0AxLmFhMi4xNTExLjJjLWFgYSNtMTBncjRvM2xgLS1kMTZzcw%3D%3D&btag=e000b0000&expire=1740850260&l=2025022801304912B46D0B9375441AE559&ply_type=2&policy=2&signature=a23a7e193a9f00c61d7668c37bc1fcd0&tk=tt_chain_token,https://www.tiktok.com/@sophie_apps/video/7057214670616268037,,178700,665,2515,3100000,"outfittiktok,fashiontiktok,outfitsoftheweek,outfitinspo,winteroutfits,winteroutfitinspo","outfittiktok,fashiontiktok,OutfitsOfTheWeek,outfitinspo,winteroutfits,winteroutfitinspo",,,,,,,,,,,,,,,,
7181952395671260422,7181952395671260422,laurencarltonw,LAUREN CARLTON,45800,2068,727,https://p16-pu-sign-no.tiktokcdn-eu.com/tos-no1a-avt-0068c001-no/75f368f0f6b6c9e0cca1b8817c10aa63~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&nonce=40818&refresh_token=59ba6257c59ea3e01e2b24c208d19721&x-expires=1740848400&x-signature=Y%2FDKVqePvtzu2nCccHH1ilL%2Ftcw%3D&idc=no1a&ps=13740610&shcp=b59d6b55&shp=a5d48078&t=4d5b0474,OOTD Cosy Winter Outfit #fyp #foryoupage #fypage #ootd #cosyoutfit #alo #winterfashion ,2022-12-27 22:03:24,1672178604,no,no,no,no,no,Collide (sped up),7178999968751945730,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/oY4Fi1FCQXmAPW9Spfv3fYeAXZ25wDRafHEAKG,https://p77-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/ocSfjmAfeKIH7sHFAGmX2ZFe5IGAL1A2R8AIbp.jpeg,Justine Skye,https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c002/osIN0eQgS0AemDt1FkjERVbtWYnfCCDoYg2HvW/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=1704&bt=852&cs=0&ds=3&ft=-Csk_mIRPD12NOcSoE-UxWN2hY3W3wv25AcAp&mime_type=video_mp4&qs=0&rc=cnF8b2hsc2d3SkBwbmQxaDFwekApOzs0NTk7NDw7N2hmNzY0NGcpPHJudXg6bXBvZjMzajc8eXljRl5Nc3FePmJKYSNgbV90YmJeYDJgMTEzYTIuNjMwYmItNTA6Y2QvbnE1NGA0amItLTExLS06&btag=e000b8000&expire=1740850266&l=2025022801304912B46D0B9375441AE559&ply_type=2&policy=2&signature=3398616cfa4cd261c76abf09e1c99584&tk=tt_chain_token,https://www.tiktok.com/@laurencarltonw/video/7181952395671260422,,4116,15,149,314700,"fyp,foryoupage,fypage,ootd,cosyoutfit,alo,winterfashion","fyp,foryoupage,fypage,OOTD,cosyoutfit,alo,winterfashion",,,"OOTD 
COSY OUTFIT",,,,,,,,,,,,,
7450204497462201622,7450204497462201622,lisaholdshteyn_,Lisa Holdshteyn,25300,13700,565,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/899034ce6ff7d8d849c9bc68ed8a147b~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&nonce=3335&refresh_token=cd8151f7bf659e0cbb278f64176e6ca7&x-expires=1740848400&x-signature=xb6FQoJ5fh%2BJdkYRSiKLuQBKYis%3D&idc=no1a&ps=13740610&shcp=b59d6b55&shp=a5d48078&t=4d5b0474,Ourdit of the day 🖤 #timelessfashion #timeless #winterstyle #maxicoat #fashiontiktok #fashiontrend #scarfcoat #capecoat #monochrome #monochromeoutfit #blackcoat ,2024-12-19 19:18:32,1734635912,no,no,no,no,no,original sound,7201288091355613994,https://v16m.tiktokcdn-eu.com/831a24951cc3fc5b9e2c89b3a9ee8622/67c1f2db/video/tos/maliva/tos-maliva-v-27dcd7c799-us/c0d364b1861f476fa0778f7d64239d5a/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=.NpOcInz7ThN9j-OXq8Zmo&mime_type=audio_mpeg&qs=6&rc=ZmRoZWVnZWk1ZjQ3NGk6Z0BpM2Zyazc6ZnQ0aTMzZzU8NEAwLzIuNV80XzQxLzQ2Xy0yYSNjMm80cjQwbmxgLS1kMS9zcw%3D%3D&vvpl=1&l=2025022801304912B46D0B9375441AE559&btag=e000b8000&download=true,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/96bb7e293621fbc879444678b6c6cee7~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&nonce=3211&refresh_token=d90d06d2a9df9a338a61d1b73f0cc254&x-expires=1740848400&x-signature=%2Bxzk7BTFUlnb%2BcXcN88w82DnDDQ%3D&idc=no1a&ps=13740610&shcp=b59d6b55&shp=a5d48078&t=4d5b0474,Hillel Barak,https://v16-webapp-prime.tiktok.com/video/tos/no1a/tos-no1a-ve-0068-no/oUcz2iACiEpIwisBjkfjUBBAIGI4zBy2CQTYAN/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=1498&bt=749&cs=0&ds=3&ft=-Csk_mIRPD12NOcSoE-UxWN2hY3W3wv25AcAp&mime_type=video_mp4&qs=0&rc=MzpmPDxlPDdpZzppZGZkNkBpM3ByNW05cjM6dzMzbzczNUBeLTRfMTUzXi8xY2MvMV42YSNeMDMtMmRzMGZgLS1kMTFzcw%3D%3D&btag=e000b0000&expire=1740850262&l=2025022801304912B46D0B9375441AE559&ply_type=2&policy=2&signature=79b9a3d2f60d200d4ce97e3f4c5cf5d1&tk=tt_chain_token,https://www.tiktok.com/@lisaholdshteyn_/video/7450204497462201622,,6233,102,275,133100,"timelessfashion,timeless,winterstyle,maxicoat,fashiontiktok,fashiontrend,scarfcoat,capecoat,monochrome,monochromeoutfit,blackcoat","timelessfashion,timeless,winterstyle,maxicoat,fashiontiktok,fashiontrend,scarfcoat,capecoat,monochrome,monochromeoutfit,blackcoat",,,Coat black coat winter  outfit elegant outfit elegant style timeless style winter ootd fashion TikTok monochrome outfit timeless style effortless chic cape coat scarf coat ,,,,,,,,,,,,,
7173380359118245125,7173380359118245125,lusyyotd,lusyyotd,1257,2194,19,https://p16-pu-sign-no.tiktokcdn-eu.com/tos-no1a-avt-0068c001-no/1cec36deb5c4ef0285e393589305cbd5~tplv-tiktokx-cropcenter:100:100.jpeg?dr=10399&nonce=58630&refresh_token=76040422b527e31758b0e20aec41b4a7&x-expires=1740848400&x-signature=exi9z84IQRm6fgdu0jVtI%2BYUUFU%3D&idc=no1a&ps=13740610&shcp=b59d6b55&shp=a5d48078&t=4d5b0474,Winter outfit inspiration 🤍#outfit #tendance #tendance2022 #outfitinspo #outfitinspiration #outfitideas #outfits #hiver2022  #look #looks #look #season #pinterest #mood #inspiration #girl #girls #aesthetic #aesthetics #fouryoupage #pourtoi #fyp #fyp* #winter  #winteroutfit #winteroutfits #winterfashion #winteroutfitideas #winteroutfits2022  #winteraesthetic #winteraesthetics❄️ #winteraesthetics  #wintercold #wintercoldweather  #wintervibes #WinterVibes #wintervibe ,2022-12-04 19:39:31,1670182771,no,no,no,no,no,original sound by itsmusixx cmsk,7121837720708303617,https://v16m.tiktokcdn-eu.com/dde4021e3b277f181576d932b222932f/67c1f2d4/video/tos/alisg/tos-alisg-v-27dcd7/bdb00319da7e447eab6048bb70e6b6d6/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=.NpOcInz7ThN9j-OXq8Zmo&mime_type=audio_mpeg&qs=6&rc=aTU1Nmk7Nzg1ZjM3NTppOEBpanlld2k6ZmZ3ZTMzODU8NEAyLTRhMmI2XzQxYzZgYl5iYSNscDIxcjRvZ15gLS1kMS1zcw%3D%3D&vvpl=1&l=2025022801304912B46D0B9375441AE559&btag=e000b0000&download=true,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/d1b1b6d211ec155ad94021735a351300~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=10399&nonce=57719&refresh_token=9da2c44b692965806892d0816255209f&x-expires=1740848400&x-signature=FXZsF5XAg6SQ%2B2fimyIHkpprp0Q%3D&idc=no1a&ps=13740610&shcp=b59d6b55&shp=a5d48078&t=4d5b0474,spedix_ncs,,https://www.tiktok.com/@lusyyotd/video/7173380359118245125,,8223,19,484,854400,"outfit,tendance,tendance2022,outfitinspo,outfitinspiration,outfitideas,outfits,hiver2022,look,looks,look,season,pinterest,mood,inspiration,girl,girls,aesthetic,aesthetics,fouryoupage,pourtoi,fyp,fyp,winter,winteroutfit,winteroutfits,winterfashion,winteroutfitideas,winteroutfits2022,winteraesthetic,winteraesthetics❄️,winteraesthetics,wintercold,wintercoldweather,wintervibes,wintervibes,wintervibe","outfit,tendance,tendance2022,outfitinspo,outfitinspiration,outfitideas,outfits,hiver2022,look,looks,season,pinterest,mood,inspiration,girl,girls,aesthetic,aesthetics,fouryoupage,pourtoi,fyp,winter,winteroutfit,winteroutfits,winterfashion,winteroutfitideas,winteroutfits2022,winteraesthetic,winteraesthetics❄️,winteraesthetics,wintercold,wintercoldweather,wintervibes,wintervibe",,,"WINTER
 OUTFIT  INSPIRATION ",Green Screen,,,,,,,,,,,,
