id,url,from_dataset,start_frame,start_time,start_fps,end_frame,end_time,end_fps,scene_num,num_scenes_detected,total_video_frames,total_video_duration,post_ids
7447133242114821381.mp4_scene_1,7447133242114821381,a3749d3a5e530880c6811a4e1b52f380,0,00:00:00.000,30.0,18,00:00:00.600,30.0,1,14,399,00:00:13.300,"7,4,4,7,1,3,3,2,4,2,1,1,4,8,2,1,3,8,1"
7447133242114821381.mp4_scene_2,7447133242114821381,a3749d3a5e530880c6811a4e1b52f380,18,00:00:00.600,30.0,46,00:00:01.533,30.0,2,14,399,00:00:13.300,"7,4,4,7,1,3,3,2,4,2,1,1,4,8,2,1,3,8,1"
7447133242114821381.mp4_scene_3,7447133242114821381,a3749d3a5e530880c6811a4e1b52f380,46,00:00:01.533,30.0,77,00:00:02.567,30.0,3,14,399,00:00:13.300,"7,4,4,7,1,3,3,2,4,2,1,1,4,8,2,1,3,8,1"
7447133242114821381.mp4_scene_4,7447133242114821381,a3749d3a5e530880c6811a4e1b52f380,77,00:00:02.567,30.0,98,00:00:03.267,30.0,4,14,399,00:00:13.300,"7,4,4,7,1,3,3,2,4,2,1,1,4,8,2,1,3,8,1"
7447133242114821381.mp4_scene_5,7447133242114821381,a3749d3a5e530880c6811a4e1b52f380,98,00:00:03.267,30.0,117,00:00:03.900,30.0,5,14,399,00:00:13.300,"7,4,4,7,1,3,3,2,4,2,1,1,4,8,2,1,3,8,1"
7447133242114821381.mp4_scene_6,7447133242114821381,a3749d3a5e530880c6811a4e1b52f380,117,00:00:03.900,30.0,137,00:00:04.567,30.0,6,14,399,00:00:13.300,"7,4,4,7,1,3,3,2,4,2,1,1,4,8,2,1,3,8,1"
7447133242114821381.mp4_scene_7,7447133242114821381,a3749d3a5e530880c6811a4e1b52f380,137,00:00:04.567,30.0,188,00:00:06.267,30.0,7,14,399,00:00:13.300,"7,4,4,7,1,3,3,2,4,2,1,1,4,8,2,1,3,8,1"
7447133242114821381.mp4_scene_8,7447133242114821381,a3749d3a5e530880c6811a4e1b52f380,188,00:00:06.267,30.0,228,00:00:07.600,30.0,8,14,399,00:00:13.300,"7,4,4,7,1,3,3,2,4,2,1,1,4,8,2,1,3,8,1"
7447133242114821381.mp4_scene_9,7447133242114821381,a3749d3a5e530880c6811a4e1b52f380,228,00:00:07.600,30.0,259,00:00:08.633,30.0,9,14,399,00:00:13.300,"7,4,4,7,1,3,3,2,4,2,1,1,4,8,2,1,3,8,1"
7447133242114821381.mp4_scene_10,7447133242114821381,a3749d3a5e530880c6811a4e1b52f380,259,00:00:08.633,30.0,278,00:00:09.267,30.0,10,14,399,00:00:13.300,"7,4,4,7,1,3,3,2,4,2,1,1,4,8,2,1,3,8,1"
7447133242114821381.mp4_scene_11,7447133242114821381,a3749d3a5e530880c6811a4e1b52f380,278,00:00:09.267,30.0,328,00:00:10.933,30.0,11,14,399,00:00:13.300,"7,4,4,7,1,3,3,2,4,2,1,1,4,8,2,1,3,8,1"
7447133242114821381.mp4_scene_12,7447133242114821381,a3749d3a5e530880c6811a4e1b52f380,328,00:00:10.933,30.0,348,00:00:11.600,30.0,12,14,399,00:00:13.300,"7,4,4,7,1,3,3,2,4,2,1,1,4,8,2,1,3,8,1"
7447133242114821381.mp4_scene_13,7447133242114821381,a3749d3a5e530880c6811a4e1b52f380,348,00:00:11.600,30.0,368,00:00:12.267,30.0,13,14,399,00:00:13.300,"7,4,4,7,1,3,3,2,4,2,1,1,4,8,2,1,3,8,1"
7447133242114821381.mp4_scene_14,7447133242114821381,a3749d3a5e530880c6811a4e1b52f380,368,00:00:12.267,30.0,399,00:00:13.300,30.0,14,14,399,00:00:13.300,"7,4,4,7,1,3,3,2,4,2,1,1,4,8,2,1,3,8,1"
7445253171158715654.mp4_scene_1,7445253171158715654,a3749d3a5e530880c6811a4e1b52f380,0,00:00:00.000,30.0,50,00:00:01.667,30.0,1,6,609,00:00:20.300,"7,4,4,5,2,5,3,1,7,1,1,5,8,7,1,5,6,5,4"
7445253171158715654.mp4_scene_2,7445253171158715654,a3749d3a5e530880c6811a4e1b52f380,50,00:00:01.667,30.0,70,00:00:02.333,30.0,2,6,609,00:00:20.300,"7,4,4,5,2,5,3,1,7,1,1,5,8,7,1,5,6,5,4"
7445253171158715654.mp4_scene_3,7445253171158715654,a3749d3a5e530880c6811a4e1b52f380,70,00:00:02.333,30.0,132,00:00:04.400,30.0,3,6,609,00:00:20.300,"7,4,4,5,2,5,3,1,7,1,1,5,8,7,1,5,6,5,4"
7445253171158715654.mp4_scene_4,7445253171158715654,a3749d3a5e530880c6811a4e1b52f380,132,00:00:04.400,30.0,150,00:00:05.000,30.0,4,6,609,00:00:20.300,"7,4,4,5,2,5,3,1,7,1,1,5,8,7,1,5,6,5,4"
7445253171158715654.mp4_scene_5,7445253171158715654,a3749d3a5e530880c6811a4e1b52f380,150,00:00:05.000,30.0,223,00:00:07.433,30.0,5,6,609,00:00:20.300,"7,4,4,5,2,5,3,1,7,1,1,5,8,7,1,5,6,5,4"
7445253171158715654.mp4_scene_6,7445253171158715654,a3749d3a5e530880c6811a4e1b52f380,223,00:00:07.433,30.0,609,00:00:20.300,30.0,6,6,609,00:00:20.300,"7,4,4,5,2,5,3,1,7,1,1,5,8,7,1,5,6,5,4"
7205351622480825643.mp4_scene_1,7205351622480825643,a3749d3a5e530880c6811a4e1b52f380,0,00:00:00.000,30.0,14,00:00:00.467,30.0,1,13,456,00:00:15.200,"7,2,0,5,3,5,1,6,2,2,4,8,0,8,2,5,6,4,3"
7205351622480825643.mp4_scene_2,7205351622480825643,a3749d3a5e530880c6811a4e1b52f380,14,00:00:00.467,30.0,38,00:00:01.267,30.0,2,13,456,00:00:15.200,"7,2,0,5,3,5,1,6,2,2,4,8,0,8,2,5,6,4,3"
7205351622480825643.mp4_scene_3,7205351622480825643,a3749d3a5e530880c6811a4e1b52f380,38,00:00:01.267,30.0,64,00:00:02.133,30.0,3,13,456,00:00:15.200,"7,2,0,5,3,5,1,6,2,2,4,8,0,8,2,5,6,4,3"
7205351622480825643.mp4_scene_4,7205351622480825643,a3749d3a5e530880c6811a4e1b52f380,64,00:00:02.133,30.0,99,00:00:03.300,30.0,4,13,456,00:00:15.200,"7,2,0,5,3,5,1,6,2,2,4,8,0,8,2,5,6,4,3"
7205351622480825643.mp4_scene_5,7205351622480825643,a3749d3a5e530880c6811a4e1b52f380,99,00:00:03.300,30.0,122,00:00:04.067,30.0,5,13,456,00:00:15.200,"7,2,0,5,3,5,1,6,2,2,4,8,0,8,2,5,6,4,3"
7205351622480825643.mp4_scene_6,7205351622480825643,a3749d3a5e530880c6811a4e1b52f380,122,00:00:04.067,30.0,158,00:00:05.267,30.0,6,13,456,00:00:15.200,"7,2,0,5,3,5,1,6,2,2,4,8,0,8,2,5,6,4,3"
7205351622480825643.mp4_scene_7,7205351622480825643,a3749d3a5e530880c6811a4e1b52f380,158,00:00:05.267,30.0,183,00:00:06.100,30.0,7,13,456,00:00:15.200,"7,2,0,5,3,5,1,6,2,2,4,8,0,8,2,5,6,4,3"
7205351622480825643.mp4_scene_8,7205351622480825643,a3749d3a5e530880c6811a4e1b52f380,183,00:00:06.100,30.0,244,00:00:08.133,30.0,8,13,456,00:00:15.200,"7,2,0,5,3,5,1,6,2,2,4,8,0,8,2,5,6,4,3"
7205351622480825643.mp4_scene_9,7205351622480825643,a3749d3a5e530880c6811a4e1b52f380,244,00:00:08.133,30.0,281,00:00:09.367,30.0,9,13,456,00:00:15.200,"7,2,0,5,3,5,1,6,2,2,4,8,0,8,2,5,6,4,3"
7205351622480825643.mp4_scene_10,7205351622480825643,a3749d3a5e530880c6811a4e1b52f380,281,00:00:09.367,30.0,305,00:00:10.167,30.0,10,13,456,00:00:15.200,"7,2,0,5,3,5,1,6,2,2,4,8,0,8,2,5,6,4,3"
7205351622480825643.mp4_scene_11,7205351622480825643,a3749d3a5e530880c6811a4e1b52f380,305,00:00:10.167,30.0,342,00:00:11.400,30.0,11,13,456,00:00:15.200,"7,2,0,5,3,5,1,6,2,2,4,8,0,8,2,5,6,4,3"
7205351622480825643.mp4_scene_12,7205351622480825643,a3749d3a5e530880c6811a4e1b52f380,342,00:00:11.400,30.0,366,00:00:12.200,30.0,12,13,456,00:00:15.200,"7,2,0,5,3,5,1,6,2,2,4,8,0,8,2,5,6,4,3"
7205351622480825643.mp4_scene_13,7205351622480825643,a3749d3a5e530880c6811a4e1b52f380,366,00:00:12.200,30.0,456,00:00:15.200,30.0,13,13,456,00:00:15.200,"7,2,0,5,3,5,1,6,2,2,4,8,0,8,2,5,6,4,3"
7057214670616268037.mp4_scene_1,7057214670616268037,a3749d3a5e530880c6811a4e1b52f380,0,00:00:00.000,30.0,46,00:00:01.533,30.0,1,7,307,00:00:10.233,"7,0,5,7,2,1,4,6,7,0,6,1,6,2,6,8,0,3,7"
7057214670616268037.mp4_scene_2,7057214670616268037,a3749d3a5e530880c6811a4e1b52f380,46,00:00:01.533,30.0,91,00:00:03.033,30.0,2,7,307,00:00:10.233,"7,0,5,7,2,1,4,6,7,0,6,1,6,2,6,8,0,3,7"
7057214670616268037.mp4_scene_3,7057214670616268037,a3749d3a5e530880c6811a4e1b52f380,91,00:00:03.033,30.0,135,00:00:04.500,30.0,3,7,307,00:00:10.233,"7,0,5,7,2,1,4,6,7,0,6,1,6,2,6,8,0,3,7"
7057214670616268037.mp4_scene_4,7057214670616268037,a3749d3a5e530880c6811a4e1b52f380,135,00:00:04.500,30.0,179,00:00:05.967,30.0,4,7,307,00:00:10.233,"7,0,5,7,2,1,4,6,7,0,6,1,6,2,6,8,0,3,7"
7057214670616268037.mp4_scene_5,7057214670616268037,a3749d3a5e530880c6811a4e1b52f380,179,00:00:05.967,30.0,222,00:00:07.400,30.0,5,7,307,00:00:10.233,"7,0,5,7,2,1,4,6,7,0,6,1,6,2,6,8,0,3,7"
7057214670616268037.mp4_scene_6,7057214670616268037,a3749d3a5e530880c6811a4e1b52f380,222,00:00:07.400,30.0,265,00:00:08.833,30.0,6,7,307,00:00:10.233,"7,0,5,7,2,1,4,6,7,0,6,1,6,2,6,8,0,3,7"
7057214670616268037.mp4_scene_7,7057214670616268037,a3749d3a5e530880c6811a4e1b52f380,265,00:00:08.833,30.0,307,00:00:10.233,30.0,7,7,307,00:00:10.233,"7,0,5,7,2,1,4,6,7,0,6,1,6,2,6,8,0,3,7"
7181952395671260422.mp4_scene_1,7181952395671260422,a3749d3a5e530880c6811a4e1b52f380,0,00:00:00.000,30.0,26,00:00:00.867,30.0,1,15,482,00:00:16.067,"7,1,8,1,9,5,2,3,9,5,6,7,1,2,6,0,4,2,2"
7181952395671260422.mp4_scene_2,7181952395671260422,a3749d3a5e530880c6811a4e1b52f380,26,00:00:00.867,30.0,53,00:00:01.767,30.0,2,15,482,00:00:16.067,"7,1,8,1,9,5,2,3,9,5,6,7,1,2,6,0,4,2,2"
7181952395671260422.mp4_scene_3,7181952395671260422,a3749d3a5e530880c6811a4e1b52f380,53,00:00:01.767,30.0,78,00:00:02.600,30.0,3,15,482,00:00:16.067,"7,1,8,1,9,5,2,3,9,5,6,7,1,2,6,0,4,2,2"
7181952395671260422.mp4_scene_4,7181952395671260422,a3749d3a5e530880c6811a4e1b52f380,78,00:00:02.600,30.0,97,00:00:03.233,30.0,4,15,482,00:00:16.067,"7,1,8,1,9,5,2,3,9,5,6,7,1,2,6,0,4,2,2"
7181952395671260422.mp4_scene_5,7181952395671260422,a3749d3a5e530880c6811a4e1b52f380,97,00:00:03.233,30.0,120,00:00:04.000,30.0,5,15,482,00:00:16.067,"7,1,8,1,9,5,2,3,9,5,6,7,1,2,6,0,4,2,2"
7181952395671260422.mp4_scene_6,7181952395671260422,a3749d3a5e530880c6811a4e1b52f380,120,00:00:04.000,30.0,145,00:00:04.833,30.0,6,15,482,00:00:16.067,"7,1,8,1,9,5,2,3,9,5,6,7,1,2,6,0,4,2,2"
7181952395671260422.mp4_scene_7,7181952395671260422,a3749d3a5e530880c6811a4e1b52f380,145,00:00:04.833,30.0,175,00:00:05.833,30.0,7,15,482,00:00:16.067,"7,1,8,1,9,5,2,3,9,5,6,7,1,2,6,0,4,2,2"
7181952395671260422.mp4_scene_8,7181952395671260422,a3749d3a5e530880c6811a4e1b52f380,175,00:00:05.833,30.0,251,00:00:08.367,30.0,8,15,482,00:00:16.067,"7,1,8,1,9,5,2,3,9,5,6,7,1,2,6,0,4,2,2"
7181952395671260422.mp4_scene_9,7181952395671260422,a3749d3a5e530880c6811a4e1b52f380,251,00:00:08.367,30.0,303,00:00:10.100,30.0,9,15,482,00:00:16.067,"7,1,8,1,9,5,2,3,9,5,6,7,1,2,6,0,4,2,2"
7181952395671260422.mp4_scene_10,7181952395671260422,a3749d3a5e530880c6811a4e1b52f380,303,00:00:10.100,30.0,340,00:00:11.333,30.0,10,15,482,00:00:16.067,"7,1,8,1,9,5,2,3,9,5,6,7,1,2,6,0,4,2,2"
7181952395671260422.mp4_scene_11,7181952395671260422,a3749d3a5e530880c6811a4e1b52f380,340,00:00:11.333,30.0,359,00:00:11.967,30.0,11,15,482,00:00:16.067,"7,1,8,1,9,5,2,3,9,5,6,7,1,2,6,0,4,2,2"
7181952395671260422.mp4_scene_12,7181952395671260422,a3749d3a5e530880c6811a4e1b52f380,359,00:00:11.967,30.0,404,00:00:13.467,30.0,12,15,482,00:00:16.067,"7,1,8,1,9,5,2,3,9,5,6,7,1,2,6,0,4,2,2"
7181952395671260422.mp4_scene_13,7181952395671260422,a3749d3a5e530880c6811a4e1b52f380,404,00:00:13.467,30.0,428,00:00:14.267,30.0,13,15,482,00:00:16.067,"7,1,8,1,9,5,2,3,9,5,6,7,1,2,6,0,4,2,2"
7181952395671260422.mp4_scene_14,7181952395671260422,a3749d3a5e530880c6811a4e1b52f380,428,00:00:14.267,30.0,452,00:00:15.067,30.0,14,15,482,00:00:16.067,"7,1,8,1,9,5,2,3,9,5,6,7,1,2,6,0,4,2,2"
7181952395671260422.mp4_scene_15,7181952395671260422,a3749d3a5e530880c6811a4e1b52f380,452,00:00:15.067,30.0,482,00:00:16.067,30.0,15,15,482,00:00:16.067,"7,1,8,1,9,5,2,3,9,5,6,7,1,2,6,0,4,2,2"
7173380359118245125.mp4_scene_1,7173380359118245125,a3749d3a5e530880c6811a4e1b52f380,0,00:00:00.000,30.0,114,00:00:03.800,30.0,1,6,208,00:00:06.933,"7,1,7,3,3,8,0,3,5,9,1,1,8,2,4,5,1,2,5"
7173380359118245125.mp4_scene_2,7173380359118245125,a3749d3a5e530880c6811a4e1b52f380,114,00:00:03.800,30.0,133,00:00:04.433,30.0,2,6,208,00:00:06.933,"7,1,7,3,3,8,0,3,5,9,1,1,8,2,4,5,1,2,5"
7173380359118245125.mp4_scene_3,7173380359118245125,a3749d3a5e530880c6811a4e1b52f380,133,00:00:04.433,30.0,152,00:00:05.067,30.0,3,6,208,00:00:06.933,"7,1,7,3,3,8,0,3,5,9,1,1,8,2,4,5,1,2,5"
7173380359118245125.mp4_scene_4,7173380359118245125,a3749d3a5e530880c6811a4e1b52f380,152,00:00:05.067,30.0,171,00:00:05.700,30.0,4,6,208,00:00:06.933,"7,1,7,3,3,8,0,3,5,9,1,1,8,2,4,5,1,2,5"
7173380359118245125.mp4_scene_5,7173380359118245125,a3749d3a5e530880c6811a4e1b52f380,171,00:00:05.700,30.0,190,00:00:06.333,30.0,5,6,208,00:00:06.933,"7,1,7,3,3,8,0,3,5,9,1,1,8,2,4,5,1,2,5"
7173380359118245125.mp4_scene_6,7173380359118245125,a3749d3a5e530880c6811a4e1b52f380,190,00:00:06.333,30.0,208,00:00:06.933,30.0,6,6,208,00:00:06.933,"7,1,7,3,3,8,0,3,5,9,1,1,8,2,4,5,1,2,5"
